id,session_id,position,guess_number,guessed_character,is_correct
1478,71,78,3,Б,False
1479,67,71,4,П,False
1480,68,72,10,Х,False
1481,68,72,11,Ж,False
1482,69,75,7,С,False
1483,67,71,5,С,False
1484,68,72,12,Ю,False
1485,67,71,6,У,False
1486,69,75,8,В,False
1487,67,71,7,Б,False
1488,68,72,13,К,False
1489,69,75,9,Н,False
1490,67,71,8,В,False
1491,68,72,14,С,False
1492,67,71,9,Ч,True
1493,68,72,15,М,False
1494,67,72,1,И,True
1495,68,72,16,И,False
1496,69,75,10,О,False
1497,67,73,1,Н,True
1498,68,72,17,Т,False
1499,71,78,4,І,False
1500,67,74,1,Н,True
1501,69,75,11,А,True
1502,68,72,18,Р,False
1503,67,75,1,І,True
1504,68,72,19,О,False
1505,67,76,1, ,True
1506,71,78,5,Т,False
1507,68,72,20,Л,False
1508,71,78,6,А,False
1509,67,77,1,К,True
1510,68,72,21,Ц,False
1511,69,76,1,В,False
1512,67,78,1,О,True
1513,68,72,22,У,False
1514,71,78,7,З,False
1515,67,79,1,М,True
1516,68,72,23,Ф,False
1517,67,80,1,П,True
1518,68,72,24,Ч,False
1519,71,78,8,Щ,False
1520,67,81,1,Л,True
1521,68,72,25,А,False
1522,72,70,1,Я,False
1523,67,82,1,Е,True
1524,68,72,26,В,False
1525,71,78,9,Е,False
1526,67,83,1,К,True
1527,68,72,27,І,False
1528,67,84,1,С,True
1529,68,72,28,З,False
1530,67,85,1,И,True
1531,72,70,2,М,False
1532,67,86,1, ,True
1533,71,78,10,М,True
1534,69,76,2,С,False
1535,67,87,1,Х,False
1536,71,79,1,О,True
1537,67,87,2,Е,False
1538,69,76,3,К,False
1539,68,72,29,Ї,False
1540,71,80,1,Ж,True
1541,67,87,3,Л,False
1542,72,70,3,Щ,False
1543,68,72,30,Щ,True
1544,67,87,4,А,False
1545,71,81,1,Е,False
1546,68,73,1,О,True
1547,71,81,2,Л,False
1548,73,70,1,Р,False
1549,67,87,5,Т,False
1550,68,74,1, ,True
1551,71,81,3,Н,True
1552,69,76,4,М,False
1554,69,76,5,Р,False
1556,68,75,1,В,False
1558,73,70,2, ,True
1560,68,75,2,П,False
1562,69,76,6,Т,False
1564,67,87,8,Н,False
1566,69,76,7,П,False
1567,67,87,9,В,False
1570,67,87,10,С,False
1572,73,71,2,Д,True
1574,67,87,12,Д,False
1576,69,76,9,Л,False
1578,71,84,2,П,False
1580,73,73,1,С,True
1582,71,84,3,О,False
1584,68,75,5,Щ,False
1586,67,87,14,К,False
1588,72,70,5,Н,False
1589,68,75,6,Ж,False
1591,68,75,7,М,False
2259,92,78,3,Ч,False
2279,97,70,1,И,True
2284,97,71,1, ,True
2288,89,79,2,І,False
2315,79,78,1, ,True
2326,91,75,3,Н,True
2341,88,88,1, ,True
2345,95,72,3,Р,False
2355,92,79,2,О,False
2360,92,79,3,А,True
2373,82,85,2,В,False
2388,95,72,7,А,False
2422,90,73,4,О,True
2438,84,74,1,Ї,True
2447,84,75,1, ,True
2458,91,78,5,Е,False
2463,97,75,10,Р,False
2473,86,73,2,Е,False
2481,89,82,8,О,True
2493,96,75,3,О,False
2502,69,81,9,З,False
2517,97,76,4,У,False
2525,88,90,6,М,False
2530,90,75,4,І,True
2544,79,82,5,Г,False
2551,93,70,19,П,False
2561,98,72,2, ,True
2568,92,84,12,А,False
2585,92,85,1,І,False
2591,90,76,5,Р,False
2595,89,83,10,С,False
2607,100,72,3,К,False
2629,82,95,8,Ч,False
2693,101,70,5,З,False
2722,104,70,5,М,False
2782,97,77,12,Ю,False
2795,79,85,6,Р,False
2824,101,70,20,М,False
2836,86,76,3,Л,False
2837,104,70,14,Е,False
2845,104,70,15,Ч,False
2849,104,70,17,Ю,False
2855,101,70,23,Ш,False
2858,84,80,2,Е,False
2875,79,87,1, ,False
2887,104,70,20,А,False
2919,79,92,1, ,False
2942,97,78,3, ,False
2964,104,71,2,І,False
2988,84,81,6,Д,False
2999,100,75,2,Е,False
3015,97,78,7,П,False
3033,94,74,13,С,False
3041,97,78,8,Р,False
3083,98,74,1,Ї,True
3091,105,72,14,В,False
3122,86,77,23,Ю,False
3140,86,77,29,Л,False
3161,86,77,34,І,False
3167,105,73,9,Е,False
3187,98,73,26,Е,False
3196,84,82,6,У,False
3227,105,73,19,Ю,False
3231,71,87,23,Й,False
3272,94,74,25,Ж,False
3343,100,87,1,Ч,True
3350,105,106,1,В,False
3353,100,84,1,С,False
3376,112,71,1,А,False
3397,100,75,15,Ю,False
3403,98,116,1,Ї,False
3408,94,87,1,А,False
3421,98,122,1,Ї,False
3448,106,71,2,Х,False
3475,107,76,1,И,False
3510,112,72,18,Ґ,False
3514,96,76,21,Ґ,False
3550,96,76,26,О,False
3575,96,77,7,Ж,False
3585,106,71,15,Ї,False
3608,112,80,6,У,False
3609,112,80,7,Е,False
3697,113,71,7,В,False
3704,118,70,4,Т,False
3749,118,70,13,Д,False
3754,118,71,1,П,True
3765,118,74,1,Ь,False
3773,121,71,5,У,False
3774,118,75,1,Я,True
3779,121,71,8,Ю,False
3782,121,71,9,Ї,False
3783,121,71,10,К,True
3789,121,75,1, ,True
3796,122,70,2,С,False
3797,118,77,4,Л,False
3798,99,71,23,Г,False
3805,118,77,7,Н,False
3814,122,70,5,О,False
3819,121,76,7,Р,False
3821,121,76,8,Т,False
3826,122,70,9,П,False
3829,121,76,11,Ж,False
3832,118,78,2, ,True
3838,121,76,13,Л,False
3849,122,70,14,Л,False
3851,113,73,9,У,False
3852,118,79,6,Х,False
3853,122,70,15,Н,False
3854,122,70,16,Й,False
3857,118,79,8,Н,False
3863,118,79,10,Ц,False
3864,121,77,4,П,False
3866,118,79,11,Р,False
3867,121,77,5,Л,True
3869,122,70,20,Ж,False
1553,67,87,6,И,False
1555,71,82,1,А,True
1557,72,70,4,Д,False
1559,67,87,7,У,False
1561,71,83,1, ,True
1563,75,70,1,О,False
1565,73,71,1,Р,False
1568,69,76,8,Н,False
1569,68,75,3,Н,False
1571,67,87,11,І,False
1573,75,70,2,Ж,False
1575,71,84,1,Р,False
1577,73,72,1,О,True
1579,68,75,4,Д,False
1581,69,76,10,Б,True
1583,67,87,13,О,False
1585,74,70,1,Н,False
1587,75,70,3,И,False
1590,69,77,1,О,True
1592,67,87,15,Я,False
1593,69,78,1, ,True
1594,71,84,4,К,False
